loan_id,loan_amount_x,first_payment_date_x,principal_interest_payment,interest_rate_x,loan_term_x,next_payment_due_date,payment_periods_made,current_balance,amortized_balance,golden_sachs,storgan_manley,smells_largo,bank_of_americans,pj_logan,state_code,county,conforming_loan_limit,loan_purpose,loan_amount_y,closing_date,first_payment_date_y,maturity_date,loan_term_y,principal_interest_pmt,interest_rate_y,property_value,total_loan_costs,origition_charges,other_loan_costs,occupancy_type,total_units,income_thousands,recurring_monthly_debt,median_fico_score,credit_score_type,aus_type,umbs_code,target_profit,file_at_custodian,umbs price,trade_margin,Target Profit,Trade Premium,points_and_fees,Total Loan Revenue,Gross Profit,Profit Margin,Winning Bid,Winner,actual trade premium,days_diff,payment_status
5021364,375000,2021-10-01,1632.03,0.0325,360,2021-10-01,0,375000.0,584667.9945865558,102.75,102.78125,102.84375,102.8125,102.71875,CA,Lake    ,1,3,375000,2021-09-03,2021-10-01,2051-09-01,360,1627.62,3.25,500067,3104.5,0.0,3104.5,1,1,147,5145,650,0,0,3.0,18750.00000000002,2021-09-15 08:51:00.030,105.0,0.050000000000000044,18750.00000000002,18750.00000000002,0.0,18750.00000000002,18750.00000000002,0.05000000000000005,0.05,4,18750.0,0,closed
5021367,545000,2021-10-01,2822.06,0.0225,240,2021-10-01,0,545000.0,675766.4498507892,0.0,0.0,0.0,0.0,0.0,CA,Los Angeles   ,1,4,545000,2021-08-27,2021-10-01,2041-09-01,240,2816.78,2.25,993257,10736.50000000003,10736.50000000003,0.0,2,1,108,4230,620,2,0,2.0,27250.000000000025,2021-09-08 00:59:59.982,103.03,0.030299999999999994,27250.000000000025,16513.499999999996,10736.50000000003,27250.000000000025,27250.000000000025,0.050000000000000044,0.03030000000000001,4,16513.500000000007,0,closed
5021369,325000,2021-10-01,1368.47,0.029900000000000003,360,2021-10-01,0,325000.0,490440.17736849433,100.8775,100.84625,100.84625,100.815,100.84625,TX,Travis    ,1,4,325000,2021-08-21,2021-10-01,2051-09-01,360,1365.06,2.99,651303,8183.750000000002,5882.500000000002,2301.2500000000005,2,1,362,5732,643,2,0,2.5,16250.000000000015,2021-09-03 15:51:20.402,103.19,0.03190000000000004,16250.000000000015,10367.500000000013,5882.500000000002,16250.000000000015,16250.000000000015,0.050000000000000044,0.03189999999999998,4,10367.499999999993,0,closed
5021371,265000,2021-10-01,1099.47,0.02875,360,2021-10-01,0,265000.0,394102.46900546015,101.065,101.09625,101.15875,101.1275,100.90875,CA,Fresno    ,1,4,265000,2021-09-13,2021-10-01,2051-09-01,360,1096.84,2.875,1257713,6814.75,4796.5,2018.25,0,1,127,4869,655,1,0,2.5,13250.000000000011,,103.19,0.03190000000000004,13250.000000000011,8453.500000000011,4796.5,13250.000000000011,13250.000000000011,0.050000000000000044,0.03189999999999998,4,8453.499999999995,0,closed
5021372,295000,2021-11-01,1304.19,0.03375,360,2021-11-01,0,295000.0,467132.9796251576,102.9375,103.03125,103.03125,103.0,102.78125,NC,Yadkin    ,1,3,295000,2021-09-15,2021-11-01,2051-10-01,360,1300.53,3.375,368750,1834.1200000000008,0.0,1834.1200000000008,2,1,110,2934,655,2,1,3.0,14750.000000000013,,105.0,0.050000000000000044,14750.000000000013,14750.000000000013,0.0,14750.000000000013,14750.000000000013,0.050000000000000044,0.05,4,14750.0,0,closed
5021373,135000,2021-10-01,587.53,0.0325,360,2021-10-01,0,135000.0,210480.19145447024,0.0,0.0,0.0,0.0,0.0,CA,Lake    ,1,4,135000,2021-08-31,2021-10-01,2051-09-01,360,585.95,3.25,232439,843.5000000000027,526.5000000000027,317.0,2,1,89,3635,620,0,0,3.0,6750.000000000006,2021-09-15 04:01:51.806,104.61,0.04610000000000003,6750.000000000006,6223.500000000004,526.5000000000027,6750.000000000006,6750.000000000006,0.050000000000000044,0.046099999999999995,4,6223.499999999999,0,closed
5021374,155000,2021-11-01,652.66,0.029900000000000003,360,2021-11-01,0,155000.0,233904.05793427807,101.92,101.95125,102.01375,101.9825,101.88875,IL,Will    ,1,3,155000,2021-09-15,2021-11-01,2051-10-01,360,651.03,2.99,241133,2767.4999999999964,1286.4999999999964,1481.0,2,1,85,1842,655,2,1,2.5,7750.000000000007,,104.17,0.04170000000000007,7750.000000000007,6463.500000000011,1286.4999999999964,7750.000000000007,7750.000000000007,0.050000000000000044,0.041700000000000015,4,6463.500000000003,0,closed
5021376,205000,2021-11-01,892.18,0.0325,360,2021-11-01,0,205000.0,319619.79339242127,103.26625,103.32875,103.32875,103.36,103.0475,TN,Marshall    ,1,4,205000,2021-09-15,2021-11-01,2051-10-01,360,889.77,3.25,300896,1899.560000000004,799.5000000000036,1100.06,2,1,117,3023,655,2,0,3.0,10250.00000000001,,104.61,0.04610000000000003,10250.00000000001,9450.500000000005,799.5000000000036,10250.00000000001,10250.00000000001,0.050000000000000044,0.046099999999999995,4,9450.499999999998,0,closed
5021380,125000,2021-10-01,855.74,0.02875,180,2021-10-01,0,125000.0,153699.70562052497,0.0,0.0,0.0,0.0,0.0,CA,Kern    ,1,4,125000,2021-09-01,2021-10-01,2036-09-01,180,853.6899999999999,2.875,187519,5450.0,2262.5000000000005,3187.5,1,3,142,5325,620,0,0,2.5,6250.0000000000055,2021-09-09 06:02:28.858,103.19,0.03190000000000004,6250.0000000000055,3987.500000000005,2262.5000000000005,6250.0000000000055,6250.0000000000055,0.050000000000000044,0.03189999999999998,4,3987.4999999999973,0,closed
5021381,595000,2021-10-01,2651.93,0.0344,360,2021-10-01,0,595000.0,949771.9342070519,102.5475,102.64125,102.64125,102.61,102.39125,CA,Ventura    ,1,4,595000,2021-09-06,2021-10-01,2051-09-01,360,2644.3500000000004,3.44,864826,4407.500000000007,2320.5000000000073,2087.0,1,1,22,495,650,2,1,3.0,29750.000000000025,2021-09-15 07:28:49.412,104.61,0.04610000000000003,29750.000000000025,27429.50000000002,2320.5000000000073,29750.000000000025,29750.000000000025,0.050000000000000044,0.046099999999999995,4,27429.499999999996,0,closed
